# mode=adp T=8.0 Ts=0.01 dt=0.002 K=800 plant_ticks=3994 wall_ms=8001 plant_late_max_us=2101
# freq_hz=200000000 ctrl_cpu=0 plant_cpu=1 micropython=1.24.0
# exec_us avg=561.1 max=607 | tick_us(incl log/gc) avg=917.6 max=4552 | Ts_us=10000
k,y,u,exec_us,tot_us
702,-0.000000,-0.00000,565,618
703,-0.000000,-0.00000,578,630
704,-0.000000,-0.00000,553,602
705,-0.000000,-0.00000,568,621
706,-0.000000,-0.00000,550,599
707,-0.000000,-0.00000,555,608
708,-0.000000,-0.00000,556,606
709,-0.000000,-0.00000,577,627
710,-0.000000,-0.00000,553,3645
711,-0.000000,-0.00000,570,619
712,-0.000000,-0.00000,558,608
713,-0.000000,-0.00000,574,625
714,-0.000000,-0.00000,556,608
715,-0.000000,-0.00000,555,604
716,-0.000000,-0.00000,555,603
717,-0.000000,-0.00000,553,604
718,-0.000000,-0.00000,560,613
719,-0.000000,-0.00000,578,629
720,-0.000000,-0.00000,552,3645
721,-0.000000,-0.00000,564,614
722,-0.000000,-0.00000,565,620
723,-0.000000,-0.00000,570,622
724,-0.000000,-0.00000,557,606
725,-0.000000,-0.00000,555,608
726,-0.000000,-0.00000,555,607
727,-0.000000,-0.00000,556,611
728,-0.000000,-0.00000,549,599
729,-0.000000,-0.00000,580,629
730,-0.000000,-0.00000,555,3645
731,-0.000000,-0.00000,555,608
732,-0.000000,-0.00000,556,607
733,-0.000000,-0.00000,571,624
734,-0.000000,-0.00000,555,608
735,-0.000000,-0.00000,557,607
736,-0.000000,-0.00000,557,605
737,-0.000000,-0.00000,555,606
738,-0.000000,-0.00000,556,604
739,-0.000000,-0.00000,580,632
740,-0.000000,-0.00000,559,3646
741,-0.000000,-0.00000,559,611
742,-0.000000,-0.00000,562,614
743,-0.000000,-0.00000,563,615
744,-0.000000,-0.00000,549,601
745,-0.000000,-0.00000,558,609
746,-0.000000,-0.00000,555,605
747,-0.000000,-0.00000,547,600
748,-0.000000,-0.00000,559,611
749,-0.000000,-0.00000,577,628
750,-0.000000,-0.00000,548,3637
751,-0.000000,-0.00000,565,616
752,-0.000000,-0.00000,564,615
753,-0.000000,-0.00000,578,630
754,-0.000000,-0.00000,543,595
755,-0.000000,-0.00000,556,609
756,-0.000000,-0.00000,564,614
757,-0.000000,-0.00000,548,599
758,-0.000000,-0.00000,561,610
759,-0.000000,-0.00000,584,632
760,-0.000000,-0.00000,559,3647
761,-0.000000,-0.00000,560,613
762,-0.000000,-0.00000,565,613
763,-0.000000,-0.00000,574,626
764,-0.000000,-0.00000,550,603
765,-0.000000,-0.00000,557,609
766,-0.000000,-0.00000,560,611
767,-0.000000,-0.00000,556,608
768,-0.000000,-0.00000,555,606
769,-0.000000,-0.00000,581,636
