# mode=rbf T=30.0 Ts=0.01 dt=0.002 K=3000 plant_ticks=15018 wall_ms=30050 plant_late_max_us=3548
# freq_hz=200000000 ctrl_cpu=0 plant_cpu=1 micropython=1.24.0
# exec_us avg=2922.9 max=2993 | tick_us(incl log/gc) avg=3505.9 max=8401 | Ts_us=10000
k,y,u,exec_us,tot_us
618,-0.046978,3.23870,2898,2957
619,-0.037621,3.37784,2923,2982
620,-0.028246,3.52319,2918,8333
621,-0.020737,3.77017,2942,3000
622,-0.009463,3.81180,2929,2989
623,-0.000062,3.97402,2954,3012
624,0.009339,4.14816,2897,2954
625,0.018737,4.32620,2892,2950
626,0.028127,4.50692,2911,2970
627,0.037506,4.68968,2915,2976
628,0.046869,4.87374,2912,2972
629,0.056214,5.05853,2912,2973
630,0.065537,5.24344,2903,8316
631,0.072976,5.49978,2924,2979
632,0.084102,5.59434,2912,2974
633,0.093339,5.77625,2946,3005
634,0.102541,5.96202,2897,2955
635,0.111705,6.14550,2918,2977
636,0.120828,6.32626,2915,2975
637,0.129907,6.50437,2923,2979
638,0.138939,6.67987,2907,2965
639,0.147920,6.85281,2898,2957
640,0.156847,7.02320,2914,8325
641,0.163948,7.24318,2929,2985
642,0.174528,7.34479,2917,2978
643,0.183273,7.50736,2967,3023
644,0.191952,7.67069,2917,2974
645,0.200559,7.83172,2909,2970
646,0.209090,7.99083,2930,2993
647,0.217542,8.14863,2911,2971
648,0.225909,8.30593,2934,2989
649,0.234188,8.46370,2934,2991
650,0.242375,8.62313,2914,8329
651,0.248853,8.81313,2947,3007
652,0.258449,8.94620,2922,2977
653,0.266327,9.11845,2956,3014
654,0.274094,9.29877,2919,2979
655,0.281743,9.48719,2925,2985
656,0.289271,9.68414,2926,2984
657,0.296672,9.88938,2917,2976
658,0.303942,10.10192,2912,2974
659,0.311077,10.32009,2918,2974
660,0.318072,10.54162,2917,8324
661,0.323566,10.75956,2932,2990
662,0.331631,10.98060,2923,2979
663,0.338189,11.19601,2974,3031
664,0.344595,11.40377,2906,2966
665,0.350847,11.60157,2917,2974
666,0.356943,11.78750,2925,2983
667,0.362883,11.96012,2916,2975
668,0.368664,12.11852,2925,2983
669,0.374287,12.26226,2908,2962
670,0.379749,12.39131,2925,8336
671,0.384003,12.49441,2960,3019
672,0.390192,12.60558,2913,2969
673,0.395171,12.69421,2986,3042
674,0.399988,12.77031,2927,2981
675,0.404643,12.83490,2925,2981
676,0.409135,12.88865,2916,2976
677,0.413464,12.93204,2924,2982
678,0.417630,12.96542,2916,2975
679,0.421631,12.98892,2914,2976
680,0.425467,13.00257,2903,8312
681,0.428417,12.98284,2931,2990
682,0.432644,12.99949,2929,2984
683,0.435982,12.98355,2981,3040
684,0.439153,12.95592,2928,2989
685,0.442156,12.91716,2906,2963
686,0.444990,12.86709,2941,3002
687,0.447655,12.80551,2911,2968
688,0.450149,12.73239,2910,2971
689,0.452471,12.64771,2922,2978
690,0.454621,12.55165,2929,8329
691,0.456216,12.41162,2949,3007
692,0.458400,12.32678,2908,2966
